Name,Symbol,Exchange
Maruti Sec.,531319,BSE
Carnation Inds.,530609,BSE
Monotype India,505343,BSE
Union Qual. Pla.,526799,BSE
IMEC Services,513295,BSE
Mediaone Global,503685,BSE
Connplex Cinemas,CONNPLEX,NSE
Ksolves India,KSOLVES,NSE
iStreet Network,524622,BSE
Aqylon Nexus,AQYLON,NSE
Wework India,WEWORK,NSE
SSMD Agrotech,544621,BSE
Reganto Enterprises,517393,BSE
Brandman Retail,BRANDMAN,NSE
Ambitious Plasto,526439,BSE
Sanofi Consumer,SANOFICONR,NSE
Tips Music,TIPSMUSIC,NSE
Stellant Secu.,526071,BSE
Magnus Steel,517320,BSE
Colgate-Palmoliv,COLPAL,NSE
P & G Hygiene,PGHH,NSE
Yuvraaj Hygiene,531663,BSE
Krishna Fil. Ind,KRISNAFILA,NSE
TPI India,500421,BSE
Safe Enterprises,SAFEENTP,NSE
Nestle India,NESTLEIND,NSE
Workmates Core2,544610,BSE
Bridge Securitie,530249,BSE
Glottis,GLOTTIS,NSE
Ravelcare,544629,BSE
B.A.G. Converge.,BAGDIGITAL,NSE
Shri Kanha Stain,SHRIKANHA,NSE
Saffron Industri,531436,BSE
Shantidoot Infra,543598,BSE
Nexus Surgical,538874,BSE
Newtrac Foods,514060,BSE
Icodex Publish.,544483,BSE
RRP Defense,530929,BSE
Waaree Renewab.,WAAREERTL,NSE
TechD Cybersec.,TECHD,NSE
RRPSemiconductor,504346,BSE
Family Care,516110,BSE
DCM,DCM,NSE
Standard Battery,504180,BSE
Oswal Pumps,OSWALPUMPS,NSE
Indosolar,WAAREEINDO,NSE
Sunsky Logistics,544566,BSE
GK Energy,GKENERGY,NSE
Swojas Foods,530217,BSE
Marc Loire,544437,BSE
Studio LSD,STUDIOLSD,NSE
Maha Rashtra Apx,MAHAPEXLTD,NSE
Shilchar Tech.,SHILCTECH,NSE
Game Changers,544594,BSE
Australian Prem,APS,NSE
Meghna Infracon,538668,BSE
Esab India,ESABINDIA,NSE
Network People,NPST,NSE
Ontic Finserve,540386,BSE
NINtec Systems,NINSYS,NSE
JD Cables,544524,BSE
Sharvaya Metals,544506,BSE
Dam Capital Advi,DAMCAPITAL,NSE
Prime Urban,521149,BSE
TCS,TCS,NSE
Helloji Holidays,544630,BSE
Glaxosmi. Pharma,GLAXO,NSE
C K K Retail,CKKRETAIL,NSE
RNIT AI Solution,517286,BSE
Billionbrains,GROWW,NSE
Neptune Pet.,NEPTUNE,NSE
Savy Infra,SAVY,NSE
Infinity Infoway,544567,BSE
Chemkart India,544442,BSE
Nanta Tech,544668,BSE
Global Ocean,544665,BSE
Cochin Malabar,508571,BSE
Castrol India,CASTROLIND,NSE
Hindustan Zinc,HINDZINC,NSE
Influx Health.,INFLUX,NSE
Ingersoll-Rand,INGERRAND,NSE
Crestchem,526269,BSE
EPW India,EPWINDIA,NSE
Pajson Agro,544657,BSE
Owais Metal,OWAIS,NSE
Spice IslandsInd,526827,BSE
Page Industries,PAGEIND,NSE
Websol Energy,WEBELSOLAR,NSE
Sigma Solve,SIGMA,NSE
Snehaa Organics,SNEHAA,NSE
PNGS Gargi FJ,543709,BSE
Bhadora Indust.,BHADORA,NSE
Shekhawati Inds,SHEKHAWATI,NSE
Tenneco Clean,TENNIND,NSE
LG Electronics,LGEINDIA,NSE
Chatterbox Tech,544546,BSE
Accretion Nutraveda,544694,BSE
One Global Serv,514330,BSE
Anand Rathi Wea.,ANANDRATHI,NSE
Swaraj Engines,SWARAJENG,NSE
Gillette India,GILLETTE,NSE
Trade-Wings,509953,BSE
Gurunanak Agri.,GURUNANAK,NSE
Telge Projects,544544,BSE
Sheshadri Indus.,539111,BSE
Shakti Pumps,SHAKTIPUMP,NSE
Exim Routes,EXIMROUTES,NSE
Optivalue Tek,OPTIVALUE,NSE
Cash UR Drive,CUDML,NSE
Cams Services,CAMS,NSE
GE Vernova T&D,GVT&D,NSE
Rajesh Power,544291,BSE
ACE Alpha Tech,544431,BSE
Hyundai Motor I,HYUNDAI,NSE
Purple Wave Info,544627,BSE
International Ge,IGIL,NSE
Accelya Solution,ACCELYA,NSE
Indian Energy Ex,IEX,NSE
Sathlokhar Sys.,SSEGL,NSE
Arrow Greentech,ARROWGREEN,NSE
Life Insurance,LICI,NSE
Britannia Inds.,BRITANNIA,NSE
ARC Insulation,ARCIIL,NSE
Saatvik Green,SAATVIKGL,NSE
Goenka Business,538787,BSE
Grover Jewells,GJL,NSE
Zelio E-Mobility,544563,BSE
Genesis IBRC,514336,BSE
Gujarat Kidney,GKSL,NSE
Infonative Solu.,544393,BSE
Mehul Colours,544472,BSE
Meta Infotech,544441,BSE
Pro FX,PROFX,NSE
Aayush Wellness,539528,BSE
SBEC Systems,517360,BSE
Alpex Solar,ALPEXSOLAR,NSE
Pushpa Jewellers,PUSHPA,NSE
Tata Tele. Mah.,TTML,NSE
Atlanta Electric,ATLANTAELE,NSE
LGT Business,544489,BSE
Unique Organics,530997,BSE
Jyoti Resins,514448,BSE
Icon Facil.,544426,BSE
Infronics Sys.,537985,BSE
Avana Electrosystems,AVANA,NSE
Euro Pratik Sale,EUROPRATIK,NSE
Sanofi India,SANOFI,NSE
I R C T C,IRCTC,NSE
Defrail Technologies,544677,BSE
Career Point Edu,CPEDU,NSE
Coal India,COALINDIA,NSE
Crizac,CRIZAC,NSE
Taparia Tools,505685,BSE
Unified Data,544406,BSE
P & G Health Ltd,PGHL,NSE
Indo SMC,544681,BSE
Canara Robeco,CRAMC,NSE
Shine Fashions,543244,BSE
Repono,544463,BSE
Sodhani Capital,544560,BSE
Unifinz Capital,541358,BSE
Vandan Foods,544436,BSE
ADC India,523411,BSE
BSE,BSE,NSE
Greenleaf Envi.,GREENLEAF,NSE
Invicta Diagnos.,INVICTA,NSE
Monarch Surve.,544453,BSE
Accretion Pha.,ACCPL,NSE
Abbott India,ABBOTINDIA,NSE
Renol Polychem,RNPL,NSE
Neetu Yoshi,544434,BSE
Encompass Design,ENCOMPAS,NSE
Mahalaxmi Seam.,513460,BSE
GSM Foils,GSMFOILS,NSE
B. D. Industries,544468,BSE
Stanbik Agro,544659,BSE
Advani Hotels.,ADVANIHOTR,NSE
Prizor Viztech,PRIZOR,NSE
Indo Gulf Inds.,506945,BSE
Marico,MARICO,NSE
Earkart,544549,BSE
Kore Digital,KDL,NSE
Virtual Galaxy,VGINFOTECH,NSE
Logiciel Soluti.,544625,BSE
R M Drip & Sprin,RMDRIP,NSE
Rama Telecom,RTL,NSE
Sawaliya Food,SAWALIYA,NSE
Matrix Geo Sol.,MGSL,NSE
Prudent Corp.,PRUDENT,NSE
My Money Sec.,538862,BSE
Ganesh Housing,GANESHHOU,NSE
Justo Realfin,544542,BSE
Natl. Aluminium,NATIONALUM,NSE
Aten Papers,544417,BSE
True Colors,544531,BSE
Kronox Lab,KRONOX,NSE
Avax Apparels,544337,BSE
TAC Infosec,TAC,NSE
HDFC AMC,HDFCAMC,NSE
Sonalis Consumer,543924,BSE
Mazagon Dock,MAZDOCK,NSE
PAN HR Solution,544698,BSE
Kisaan Parivar,519230,BSE
KSE,519421,BSE
Viviana Power,VIVIANA,NSE
Multi Comm. Exc.,MCX,NSE
Shri Gang Indus,523309,BSE
Timex Group,500414,BSE
Motherson Wiring,MSUMI,NSE
Oriana Power Ltd,ORIANA,NSE
Austere Sys.,544505,BSE
Fluidomat,522017,BSE
Mishtann Foods,539594,BSE
Sahana Systems,SAHANA,NSE
Onesource Indus.,530805,BSE
C D S L,CDSL,NSE
Msafe Equipments,544695,BSE
Prodocs Solution,544643,BSE
KRM Ayurveda,KRMAYURVED,NSE
Positron Energy,POSITRON,NSE
Kimia Bioscien.,530313,BSE
Macfos,543787,BSE
Tanfac Inds.,506854,BSE
K.P. Energy,KPEL,NSE
Humming Bird Edu,542592,BSE
Travel Food,TRAVELFOOD,NSE
Akzo Nobel,AKZOINDIA,NSE
Frontier Springs,522195,BSE
Guj. Terce Labs.,524314,BSE
Triveni Turbine,TRITURBINE,NSE
Supertech EV,544428,BSE
Pace Digitek,PACEDIGITK,NSE
Borana Weaves,BORANA,NSE
Premier Energies,PREMIERENE,NSE
Blue Water,BLUEWATER,NSE
Eforu Entertainment,531190,BSE
Smarten Power,SMARTEN,NSE
MPS,MPSLTD,NSE
Hawkins Cookers,508486,BSE
Victory Ele.,VICTORYEV,NSE
Happy Square,WHITEFORCE,NSE
Schneider Elect.,SCHNEIDER,NSE
Marc Technocrats,MARC,NSE
Evans Electric,542668,BSE
Nippon Life Ind.,NAM-INDIA,NSE
Oracle Fin.Serv.,OFSS,NSE
Riddhi Display,544640,BSE
Solarworld Ene.,SOLARWORLD,NSE
Danish Power,DANISH,NSE
Jainik Power,JAINIK,NSE
Action Const.Eq.,ACE,NSE
KPIT Technologi.,KPITTECH,NSE
Dixon Technolog.,DIXON,NSE
Manav Infra,MANAV,NSE
Jaro Institute,JARO,NSE
Blue Jet Health,BLUEJET,NSE
Nisus Finance,544296,BSE
